,title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
1683,A Perfect Day,IFC,14000.0,1700000.0,2016,,,,,,
1684,Rustom,Zee,1100000.0,571000.0,2016,tt5165344,Rustom,Rustom,2016.0,148.0,"Crime,Drama,Thriller"
1685,Ma ma,Osci.,47300.0,1100000.0,2016,,,,,,
1686,The Monster (2016),A24,12500.0,62200.0,2016,,,,,,
1687,Troublemakers: The Story of Land Art,FRun,29500.0,9100.0,2016,,,,,,
1688,Star Wars: The Last Jedi,BV,620200000.0,712400000.0,2017,tt2527336,Star Wars: The Last Jedi,Star Wars: Episode VIII - The Last Jedi,2017.0,152.0,"Action,Adventure,Fantasy"
1689,Beauty and the Beast (2017),BV,504000000.0,759500000.0,2017,,,,,,
1690,Despicable Me 3,Uni.,264600000.0,770200000.0,2017,tt3469046,Despicable Me 3,Despicable Me 3,2017.0,89.0,"Adventure,Animation,Comedy"
1691,Jumanji: Welcome to the Jungle,Sony,404500000.0,557600000.0,2017,tt2283362,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,2017.0,119.0,"Action,Adventure,Comedy"
1692,Spider-Man: Homecoming,Sony,334200000.0,546000000.0,2017,tt2250912,Spider-Man: Homecoming,Spider-Man: Homecoming,2017.0,133.0,"Action,Adventure,Sci-Fi"
1693,Wolf Warrior 2,HC,2700000.0,867600000.0,2017,tt7131870,Wolf Warrior 2,Zhan lang II,2017.0,123.0,"Action,Drama,Thriller"
1694,Guardians of the Galaxy Vol. 2,BV,389800000.0,473900000.0,2017,tt3896198,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,2017.0,136.0,"Action,Adventure,Comedy"
1695,Thor: Ragnarok,BV,315100000.0,538900000.0,2017,tt3501632,Thor: Ragnarok,Thor: Ragnarok,2017.0,130.0,"Action,Adventure,Comedy"
1696,Wonder Woman,WB,412600000.0,409300000.0,2017,tt4283448,Wonder Woman,Wonder Woman,2016.0,75.0,"Documentary,Drama,Sport"
1697,Wonder Woman,WB,412600000.0,409300000.0,2017,tt0451279,Wonder Woman,Wonder Woman,2017.0,141.0,"Action,Adventure,Fantasy"
1698,Coco,BV,209700000.0,597400000.0,2017,tt2380307,Coco,Coco,2017.0,105.0,"Adventure,Animation,Comedy"
1699,Coco,BV,209700000.0,597400000.0,2017,tt7002100,Coco,Coco,2017.0,98.0,Horror
1700,Pirates of the Caribbean: Dead Men Tell No Tales,BV,172600000.0,622300000.0,2017,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,2017.0,129.0,"Action,Adventure,Fantasy"
1701,It,WB (NL),327500000.0,372900000.0,2017,tt1396484,It,It,2017.0,135.0,"Horror,Thriller"
1702,Justice League,WB,229000000.0,428900000.0,2017,tt0974015,Justice League,Justice League,2017.0,120.0,"Action,Adventure,Fantasy"
1703,Logan (2017),Fox,226300000.0,392700000.0,2017,,,,,,
1704,Transformers: The Last Knight,Par.,130199999.0,475300000.0,2017,tt3371366,Transformers: The Last Knight,Transformers: The Last Knight,2017.0,154.0,"Action,Adventure,Sci-Fi"
1705,Kong: Skull Island,WB,168100000.0,398600000.0,2017,tt3731562,Kong: Skull Island,Kong: Skull Island,2017.0,118.0,"Action,Adventure,Fantasy"
1706,The Boss Baby,Fox,175000000.0,353000000.0,2017,tt3874544,The Boss Baby,The Boss Baby,2017.0,97.0,"Adventure,Animation,Comedy"
1707,Dunkirk,WB,188000000.0,337200000.0,2017,tt5013056,Dunkirk,Dunkirk,2017.0,106.0,"Action,Drama,History"
1708,War for the Planet of the Apes,Fox,146900000.0,343800000.0,2017,tt3450958,War for the Planet of the Apes,War for the Planet of the Apes,2017.0,140.0,"Action,Adventure,Drama"
1709,The Greatest Showman,Fox,174300000.0,260700000.0,2017,tt1485796,The Greatest Showman,The Greatest Showman,2017.0,105.0,"Biography,Drama,Musical"
1710,Kingsman: The Golden Circle,Fox,100200000.0,310700000.0,2017,tt4649466,Kingsman: The Golden Circle,Kingsman: The Golden Circle,2017.0,141.0,"Action,Adventure,Comedy"
1711,The Mummy (2017),Uni.,80200000.0,329000000.0,2017,,,,,,
1712,Cars 3,BV,152900000.0,231000000.0,2017,tt3606752,Cars 3,Cars 3,2017.0,102.0,"Adventure,Animation,Comedy"
